"x0,y0","x1,y1","x2,y2","x3,y3","x4,y4","x5,y5","x6,y6","x7,y7","x8,y8","x9,y9","x10,y10","x11,y11","x12,y12","x13,y13","x14,y14","x15,y15","x16,y16","x17,y17","x18,y18","x19,y19","x20,y20",label
1160.49,742.91064,1154.2437,759.1696,1156.9902,776.9578,1068.946,788.3021,1103.1279,769.42883,1120.475,798.78784,1126.5311,805.6272,1012.98425,819.4128,1057.7877,804.8615,1077.3739,815.9055,1068.6398,peace
740.42,795.1234,670.2346,812.8973,640.82104,752.4499,889.08234,774.0657,748.9623,771.88104,723.27344,759.7069,693.38257,778.41675,904.7772,816.32715,809.7994,812.6929,759.6414,787.68243,722.4963,peace
821.4264,830.50684,775.27124,863.2014,741.67725,809.4019,1053.8643,824.1622,895.1158,854.9195,921.09424,894.87976,935.7321,856.10675,1095.0234,845.4343,950.2799,862.6124,965.10925,889.34827,987.2759,peace
671.21326,834.8986,594.3738,841.3047,557.53796,856.73956,917.08203,875.68225,716.8131,872.58295,682.077,875.8345,666.6108,893.81506,939.2107,909.09827,785.3597,899.9966,742.05493,887.32745,724.99695,peace
262.24368,254.3667,248.37875,261.6608,239.04337,266.79874,355.52878,252.30992,288.63162,251.47838,280.09836,257.54834,273.91476,267.98602,372.8026,255.40062,326.92047,253.02228,309.8015,248.70724,297.35315,no_gesture
274.43738,307.13052,233.03221,311.95157,212.9735,269.53207,374.3793,301.3782,295.6677,304.67792,272.211,306.9485,257.06302,276.25323,391.4849,304.2733,347.282,307.16443,326.50397,306.1876,311.44962,no_gesture
764.39703,922.3894,722.87415,920.5337,690.8551,970.76685,928.547,949.6539,824.07587,943.10046,805.00214,954.29553,780.7044,993.26935,1001.8643,979.9597,891.9951,980.72833,830.0036,975.4296,785.55255,peace
755.4442,765.4415,730.35706,807.2702,726.82385,753.252,950.3213,768.708,788.7117,798.5741,801.4497,826.205,795.65656,790.9123,992.3519,822.1638,870.1804,856.0324,814.4176,874.38025,758.76465,peace
679.5566,947.75885,756.4237,982.06885,821.3432,987.57623,687.3832,965.2237,732.4816,935.7814,836.8445,963.4311,912.95355,995.3095,717.3245,977.94543,732.3843,956.0931,795.14606,970.3564,846.482,peace
591.5374,1004.0176,623.6334,1021.04626,651.982,954.27185,690.2828,973.84015,650.5588,999.3452,689.74664,1018.72205,709.39185,967.7791,753.1318,1013.51154,716.6936,1044.2195,711.1564,1053.0221,705.23694,peace
303.15866,287.78278,301.3428,298.52045,297.99875,257.86313,364.50955,269.63165,324.7665,283.131,336.0074,290.8494,339.13577,258.95557,376.9073,266.82452,348.62015,281.14627,340.27246,285.72504,334.28265,no_gesture
592.79596,940.1221,604.38226,962.03357,605.71436,967.4256,708.96655,938.8635,634.9048,948.1384,687.8245,967.3225,723.66614,1001.68274,759.8088,1012.3957,689.922,1028.9574,687.7808,1026.5209,695.7436,peace
721.04913,751.92163,675.0134,756.772,632.7307,729.89056,907.44666,747.60974,759.6195,754.4851,746.58136,757.0898,720.3081,740.3923,933.5028,784.3997,824.7256,817.0235,771.90796,822.48956,733.0496,peace
270.28497,289.32907,243.6007,285.30286,231.97603,280.3703,344.46982,279.81583,290.3826,268.99072,281.8192,262.98355,278.60776,277.1215,356.54572,285.19742,322.66626,280.49796,297.9824,269.81735,278.97427,no_gesture
213.31015,239.02419,165.31407,232.95697,142.99596,266.06082,337.35483,273.08362,265.55872,260.29764,263.82587,253.07027,280.88782,297.6025,358.52795,300.72308,309.74768,287.4367,310.91525,275.1844,324.46915,no_gesture
683.2287,907.2173,661.6841,929.8537,627.6048,982.3682,891.0555,925.87427,733.943,915.13055,740.14185,939.6232,711.0345,988.9862,946.6422,966.9312,826.0145,963.3949,788.82697,960.47455,745.95056,peace
259.4533,274.3213,223.14803,286.0166,210.3234,288.6433,341.74646,272.152,268.09418,276.2668,255.71806,286.43295,253.80434,292.84344,356.19885,276.8697,301.47827,282.31247,277.55997,287.26285,263.32065,no_gesture
1654.7151,794.8145,1611.1062,813.4412,1579.6575,835.3507,1733.433,818.38275,1670.6237,811.517,1631.739,814.95294,1604.857,844.3764,1749.831,814.3734,1702.716,812.66425,1671.8673,817.3286,1647.7443,peace
307.6358,548.20654,292.895,567.0686,291.1407,557.7281,386.40796,536.7841,317.5739,530.0723,310.8673,539.7469,305.8903,568.7977,396.8041,554.7888,346.74734,548.02405,332.53052,538.31055,328.41525,peace
779.7761,687.82355,755.7064,690.32306,745.15515,717.9651,968.7003,683.8114,859.52216,670.8509,907.92993,650.4756,945.57227,740.43207,1031.3698,699.2361,936.5432,695.82587,932.5104,672.05817,945.7932,peace
789.70294,726.95526,747.99774,741.67865,728.1994,733.0985,923.8773,724.6403,828.37524,727.5437,810.7816,727.0692,810.625,757.2353,966.9025,763.6007,898.94385,774.592,837.19244,764.8862,799.3587,peace
370.25443,306.35324,391.36215,318.57333,399.61722,263.30267,399.9893,283.8322,388.2364,290.40952,409.33157,301.26883,427.7022,265.53732,416.27237,274.11163,400.73474,280.85608,408.469,288.3669,412.6127,no_gesture
773.7041,781.47284,849.6104,792.97205,946.34973,593.9437,940.7181,704.6053,831.82263,744.07196,919.9263,765.0136,1029.6083,558.02606,1010.1824,634.92017,917.83453,669.90045,966.5686,691.9109,1043.1777,peace
472.96796,848.9219,466.57178,861.90607,467.38837,855.29333,554.9665,834.3494,471.11002,821.33,481.43634,809.43774,488.87128,896.70337,560.1474,880.47345,483.25015,869.66223,457.35358,846.06757,441.28488,peace
300.37375,142.20348,292.0597,138.83401,297.63782,150.29279,354.30777,129.61992,321.7202,120.36904,333.83185,118.05752,349.31638,131.16286,373.55652,115.35483,346.71176,105.72126,350.019,101.53266,361.91766,no_gesture
264.01987,274.4787,247.96309,286.72858,240.39499,291.8459,335.43036,285.30325,275.43997,282.70023,269.99817,287.9725,259.18375,306.86047,350.4524,306.03702,304.4834,301.04443,281.4926,296.74966,265.2582,no_gesture
245.65817,265.77402,226.4584,274.35852,227.01283,252.80069,327.81787,255.70055,266.66617,258.9218,247.22934,267.82977,238.10916,251.55469,352.11954,245.39487,300.73026,242.81017,279.85867,242.49863,267.171,no_gesture
710.1824,559.53986,670.9527,599.98944,683.5655,602.2864,882.16437,616.4025,750.8205,641.7316,738.6298,680.45886,749.275,676.10223,909.60443,682.0502,817.8194,698.09064,800.74194,718.0931,796.9308,peace
608.4766,445.9443,500.00824,462.40533,455.554,354.9216,905.4262,371.95367,657.97,384.05438,590.14453,400.4968,565.9195,293.91574,939.2852,301.13498,759.38385,312.92865,693.60016,329.5128,662.9967,peace
288.60944,270.18787,278.75507,276.49017,267.66995,272.1266,350.7356,272.71347,294.1741,271.68317,285.33444,269.11642,271.89008,283.84863,366.5985,291.5944,319.58224,295.73993,295.018,293.40018,272.2582,no_gesture
680.9572,790.31024,653.89526,782.7335,629.92645,783.2574,910.42505,810.5792,746.32764,804.75146,770.58344,791.72687,775.702,818.93,953.49414,837.4111,833.1433,825.5163,813.17444,793.12573,785.6117,peace
390.11826,893.2574,366.04993,889.7918,352.2742,971.371,490.80634,894.1031,403.8448,879.2197,391.47864,887.3732,393.1708,990.8573,498.23297,938.9442,433.95312,930.0255,410.30057,915.00305,404.20673,peace
299.19592,290.84048,293.48596,289.14526,289.15524,303.29163,357.15002,297.338,307.99207,290.11853,320.8965,281.81604,326.35977,307.55908,365.6047,305.38168,329.64352,297.31934,327.19952,285.50638,322.05978,no_gesture
750.94476,747.4785,764.58435,760.07214,778.0039,764.25586,939.0548,749.33606,787.84766,768.66296,813.399,757.7949,830.71436,804.83875,974.6512,817.1801,862.49835,830.36273,828.93506,811.78253,813.1291,peace
284.6742,240.18956,266.45444,244.17235,256.48523,254.66832,361.98758,242.27057,294.55792,237.4064,289.361,238.79477,288.83398,253.13437,372.5361,248.16917,325.20923,244.97963,308.75845,242.26529,298.2987,no_gesture
686.02747,637.7589,687.6654,644.2987,740.82153,700.6435,857.046,656.2664,712.6998,647.51447,751.4851,654.78467,811.33594,708.16327,877.48846,684.91455,773.26276,664.80273,775.90875,647.58905,818.73334,peace
773.0124,752.336,745.0452,757.0146,728.0234,734.552,949.6714,764.3225,818.6544,777.6121,814.5166,781.1966,823.82104,766.7644,985.2445,804.33405,888.3708,824.0948,828.85315,814.65753,777.41547,peace
419.81967,197.56091,352.03665,195.82292,334.42447,201.5837,543.4496,159.45358,412.74603,155.29851,351.0386,161.78796,341.8318,157.94525,516.16077,118.12681,422.28827,118.53209,373.0266,129.11732,356.6697,no_gesture
643.7094,798.02844,633.3058,821.038,653.4033,745.03687,885.4559,789.7825,682.69305,794.0339,706.2147,824.01227,734.8213,760.4598,941.4214,785.47864,795.89374,792.3853,777.1264,813.23346,780.73535,peace
273.1574,286.8079,259.8689,291.1262,245.20326,268.7611,342.51794,278.94754,286.30276,285.0715,284.74146,284.77213,274.34946,275.38974,347.4864,288.97357,305.59802,301.5265,283.85596,301.43774,266.7887,no_gesture
274.00894,331.03125,315.95844,330.80286,355.6432,241.5891,348.11096,309.44998,305.7171,320.20972,345.28937,317.0053,383.4118,243.17387,379.27054,293.55975,347.4474,306.86572,372.984,306.26852,400.79407,no_gesture
230.63634,429.93637,229.80634,439.43423,242.88266,379.97964,274.96518,411.87,244.78482,433.67456,261.83972,448.0592,283.01868,402.2432,290.81393,418.72574,268.82935,435.90698,263.27185,442.05188,263.31198,no_gesture
592.8852,962.8499,592.7143,969.62506,604.25726,956.81573,723.98206,937.5356,632.9848,909.4061,651.5128,907.9217,674.1903,953.5346,763.10834,973.14465,700.12427,961.5913,681.4055,938.4867,674.5202,peace
251.014,261.45886,239.4511,271.6793,237.41872,254.22185,316.47995,250.81235,264.48257,256.2533,267.34763,260.61725,273.9725,256.48087,336.29388,259.30966,299.14175,260.79324,287.3416,257.3976,282.71338,no_gesture
273.48322,271.21573,256.54352,279.4942,246.71869,284.1203,347.5765,287.37723,291.42868,289.7411,288.6782,295.81006,281.08875,298.12238,367.4337,300.97693,324.11908,300.23587,305.0279,300.10287,290.16287,no_gesture
301.44894,592.6171,300.54648,581.8762,312.62778,653.0161,371.35895,607.7103,313.35773,581.943,330.99933,566.3992,356.71027,674.5007,383.45035,650.86035,338.7548,630.6221,335.8293,601.5934,342.8219,peace
810.4305,640.6279,831.09827,646.0688,845.9533,695.2951,898.6482,624.6984,819.19073,608.2788,877.1359,615.4374,925.38,680.62775,912.7609,643.2827,846.3502,630.01605,858.45245,627.1643,870.59644,peace
725.1556,859.52783,643.3064,912.3491,594.4617,595.5815,945.1974,727.1202,729.4906,801.8126,679.8168,856.3672,655.25366,550.8138,958.8671,653.9009,766.6211,733.3383,714.566,791.02826,704.4117,peace
283.8274,308.01514,269.89352,317.9317,253.82478,271.67374,368.7804,297.13968,295.2197,312.8684,275.56726,325.1069,259.7484,284.79593,383.81903,301.81747,328.68884,311.46182,304.6899,317.62598,287.2484,no_gesture
276.28897,230.87556,288.00504,220.65182,318.15936,356.3712,365.01157,320.61188,277.60858,292.71295,281.28552,280.13895,307.61664,392.10916,380.23978,374.87677,299.92883,346.11847,291.20184,326.75266,303.73532,no_gesture
298.5459,158.86766,301.85626,163.63914,302.6762,156.06062,361.7565,152.98236,307.55658,157.1776,321.24734,161.89453,328.57797,156.03929,376.08325,157.32106,344.65982,162.90076,334.9934,165.74213,331.53635,no_gesture
278.3957,265.19626,271.5518,267.33948,278.16293,274.0874,344.55215,268.35638,290.20792,265.93823,287.00616,264.38272,290.0718,278.081,369.7196,279.44138,321.1251,279.28156,301.6267,273.2699,298.29572,no_gesture
668.60144,737.7345,547.5955,754.9973,497.17392,742.748,910.59863,747.18695,680.60815,758.2693,641.7343,775.88226,624.22986,755.76385,932.1573,765.4005,772.39276,768.3222,697.70013,758.4181,661.2672,peace
728.80914,714.31964,665.4408,732.58716,616.5265,724.64594,893.2305,730.20514,759.5161,724.33295,726.3758,739.7713,696.82855,745.84973,928.2554,757.0614,823.13525,765.48364,750.6392,764.01733,694.52167,peace
780.7048,758.82983,772.4133,782.3166,819.10474,683.0008,1011.7984,731.83563,834.3029,750.7694,884.9262,778.0641,942.91907,688.85846,1061.9838,722.5965,950.30975,739.0935,947.6859,745.836,952.0695,peace
255.36624,280.63635,248.90723,280.7434,231.05,275.30878,338.273,274.74847,278.0484,265.6286,289.64764,255.59224,282.79776,283.4365,351.59393,289.16757,304.28592,282.77756,292.1184,270.62143,279.00592,no_gesture
275.05093,277.12335,289.47128,274.976,307.66174,285.37408,353.22247,282.4363,291.5792,273.5193,324.5095,268.82224,357.44653,286.81644,371.9981,287.86044,323.28134,282.9903,325.33783,275.0964,334.49252,no_gesture
287.30316,278.82697,257.64224,277.89142,240.70854,284.6352,352.13354,279.2576,298.76483,272.943,283.24442,267.61304,278.77426,288.36752,366.85886,286.8189,324.65903,282.8019,299.54633,274.20596,284.4374,no_gesture
285.65714,339.8435,283.85507,355.86383,304.1891,296.38983,425.24612,342.43326,323.1649,365.57745,327.70377,369.91504,352.1594,331.43835,459.99997,370.4069,398.91022,381.90207,397.4756,376.82367,411.9612,no_gesture
780.6402,761.84827,780.07623,768.6666,814.84106,773.92,953.7993,761.6307,813.6545,780.24896,824.3205,781.13306,838.8351,819.9607,996.1618,830.3373,884.3913,825.07886,851.83496,796.47473,840.45154,peace
752.22314,421.4107,699.5903,432.7618,690.4959,462.87436,925.57825,446.87823,788.89075,447.75998,765.60406,455.8801,764.39996,484.6938,968.18866,491.38763,851.00616,489.18887,779.15027,479.22223,739.6334,peace
249.76497,181.8922,281.29214,185.05067,298.11887,195.66953,316.731,193.9659,252.87097,188.47884,287.65228,187.89285,311.5982,197.77843,322.1794,192.48535,266.12067,186.70734,276.47375,183.72464,287.09256,no_gesture
787.3998,549.86127,756.6804,561.47076,732.36975,584.72736,976.3096,556.3037,812.85986,559.81036,838.0305,569.54224,858.8646,601.8508,1016.1203,590.65216,873.61743,590.1925,847.63416,587.7059,840.71576,peace
193.11421,312.63837,186.79536,312.79703,176.47314,323.2544,236.00212,318.2193,202.33763,304.5576,201.44913,299.30988,196.56024,330.84735,242.52403,323.86914,214.48375,319.2486,200.84135,313.36313,189.78644,no_gesture
162.81163,365.92944,156.46622,359.68747,157.30624,368.87814,193.73814,372.82016,164.31175,357.83868,164.9291,344.06302,166.83571,379.8219,196.79968,389.74405,175.8806,378.82126,169.38815,359.59106,166.37845,no_gesture
727.10785,634.87463,686.9746,672.8236,695.10876,478.25845,960.29614,503.8216,752.1967,536.5539,723.04376,564.501,751.8131,384.06168,959.36273,396.4473,792.07245,427.6464,749.67664,454.5301,764.5135,peace
246.2454,251.76587,282.01587,250.28928,315.40506,267.72766,285.26797,266.43588,255.4028,258.20953,297.1647,259.36398,332.05084,272.88153,297.1795,267.23807,272.426,257.0852,296.01904,251.70813,317.34497,no_gesture
739.0805,694.69666,674.5679,695.29645,623.472,733.51056,913.76056,721.1191,788.9704,704.26996,745.64185,691.9025,700.3491,750.554,952.44745,763.373,844.1338,770.2883,778.4779,753.02545,730.783,peace
322.8242,305.4096,327.3967,311.89175,339.5118,255.47406,431.70883,319.116,366.96915,332.46265,367.42007,332.92856,381.8479,289.0292,461.12146,339.65915,428.05698,350.13193,426.31717,347.21896,434.44424,no_gesture
183.39903,410.22223,154.07419,414.43494,139.44693,394.72327,241.3431,425.46512,202.42119,437.28583,185.2951,450.09708,178.9091,403.2757,255.25034,425.81256,227.95963,436.6285,213.44131,447.1265,208.94641,no_gesture
744.76886,717.3025,725.48004,740.1503,708.4083,776.1053,913.70575,766.8693,823.1186,770.41425,845.74567,790.49225,833.70264,807.72217,970.178,797.51953,905.21545,799.4388,863.606,802.557,815.76794,peace
728.95856,663.7509,668.7082,673.0881,634.7629,751.0148,902.21124,712.483,763.6051,694.7222,756.1652,700.3558,746.5888,790.0121,939.6047,777.87335,859.5333,769.3524,812.75916,763.5711,768.0516,peace
682.2501,682.9783,652.6757,679.6301,649.09454,690.72845,880.80817,678.16144,731.5568,665.76447,733.8682,662.29846,725.78687,685.2907,914.6464,700.1013,804.9282,698.0873,739.1786,677.80927,685.285,peace
813.1575,715.1147,903.4292,717.31793,998.05225,731.1709,815.32104,671.2677,848.07965,643.6794,985.57526,646.04565,1111.7059,675.16815,828.6505,599.7875,867.23157,564.7534,990.2898,550.73114,1088.0336,peace
314.28503,262.70734,305.64825,270.93243,303.5304,289.4048,354.11636,270.7739,319.82773,275.80423,319.735,285.38327,321.65118,299.9534,370.66675,288.32544,346.0854,294.62552,331.06064,300.2586,319.5919,no_gesture
828.5125,721.16254,809.69836,736.6875,800.52637,751.24744,973.6204,728.8272,851.72504,735.8312,844.3344,745.37164,844.4926,785.4803,1018.6374,772.5,905.18207,781.51685,847.127,775.8214,832.6059,peace
237.04816,382.21512,239.09425,393.98547,250.06255,360.24554,272.98608,373.893,249.60225,376.50198,263.1537,376.18842,277.46716,377.89453,287.92432,392.22858,274.4574,397.93948,273.73312,391.21548,272.74103,no_gesture
261.7131,262.501,232.91364,263.99747,223.34639,274.682,350.87216,255.37535,277.3123,247.70091,269.94815,244.69128,271.5103,273.829,359.15466,261.27496,307.6693,254.3042,287.10037,245.2748,278.0666,no_gesture
192.62625,313.886,198.36606,318.70682,227.5393,215.38153,254.20256,261.19598,193.96191,283.9676,202.15402,291.42032,223.94023,186.99263,269.30164,222.5875,218.37447,243.02333,216.49904,251.66716,229.12578,no_gesture
240.44194,329.48315,221.7489,358.73877,213.91052,218.14859,328.45804,292.48483,263.3205,333.8168,250.3897,366.642,245.18993,232.8974,355.3546,294.16553,307.0831,325.087,291.8854,349.8985,280.69833,no_gesture
288.2105,161.78969,275.44986,168.20387,279.2628,172.9028,350.90225,167.2155,310.70477,169.5059,308.1627,176.6601,312.2117,181.84012,377.5889,180.58249,340.6475,180.40593,327.50586,181.81421,320.478,no_gesture
825.9005,783.8803,837.4425,790.6402,835.48865,728.521,966.58594,751.51294,868.3752,745.3717,912.5247,740.66003,935.3535,733.33765,1012.2768,751.30066,928.1695,753.9348,900.55554,736.538,897.3495,peace
784.8635,780.1164,801.01575,774.26373,843.63654,721.4409,969.6229,755.30383,834.2941,768.5567,862.53375,764.3884,913.52893,735.9183,1016.1563,771.72095,922.19,788.1467,889.2901,773.52484,888.77124,peace
208.6973,215.51112,250.42854,205.60529,294.2118,329.76755,290.49542,257.97433,230.61955,223.60188,273.18848,223.2525,308.53125,329.67755,316.3085,260.29752,263.2118,230.30232,283.25937,229.61469,303.37958,no_gesture
574.1574,1022.4034,574.52185,1026.2257,575.5308,978.13367,716.5923,955.33734,605.9293,946.51416,636.38715,933.6276,655.54846,994.1662,726.7778,981.0938,638.9233,993.97876,620.47314,982.4716,611.1887,peace
824.4589,472.4122,845.72235,489.04666,860.2933,462.6322,939.06464,459.61203,863.9202,477.83997,895.8891,489.252,916.6578,467.06934,989.06195,472.33356,922.2535,485.83224,891.6892,485.35208,880.3831,peace
717.548,848.9643,793.37036,870.61096,863.38934,698.5385,907.7695,815.3931,784.2227,847.4462,856.1962,855.7616,925.238,690.1764,938.4284,777.987,860.4217,826.43634,891.891,858.7631,929.7968,peace
752.60974,747.0507,679.3004,759.6313,646.9665,756.3953,943.72284,742.7631,796.45197,758.487,738.224,775.7588,700.3793,766.17993,1001.53143,784.0158,876.24414,792.0989,790.5131,781.0034,737.2988,peace
563.32355,413.83417,537.6058,408.9189,539.1548,431.10757,706.70465,422.8678,604.0667,414.54752,586.13086,403.46002,584.0127,443.0422,746.63684,436.465,661.7638,427.9611,620.10596,409.08194,595.75494,peace
237.47826,242.15817,188.68678,241.53722,164.60033,235.63863,324.222,223.60442,231.3244,209.08597,182.98361,201.97318,143.47647,213.93594,330.01254,189.1267,254.24164,161.4168,196.52272,136.53223,145.72803,no_gesture
161.16403,193.0691,125.37337,201.21194,111.17641,170.64069,254.2532,203.77882,175.4361,210.95407,140.04617,214.95541,122.374725,183.7589,274.54947,210.61055,212.18231,221.43098,182.18427,228.46461,164.41899,no_gesture
529.4523,986.0376,495.1208,978.6687,468.3335,966.0798,715.2917,975.21936,574.1391,947.4512,568.5562,922.7079,559.353,981.1664,729.39966,1007.2877,628.18695,1007.8282,581.42426,971.6023,547.41315,peace
584.66504,936.679,491.75662,938.0566,438.2127,948.2042,763.9966,903.4131,583.52893,874.9714,511.18417,862.02545,466.76782,936.4608,767.5935,917.376,620.11127,890.4666,543.0636,846.3055,488.1908,peace
637.6993,658.7951,550.83185,664.63855,517.52655,753.6941,910.7619,709.20557,665.6971,695.61444,613.01715,705.78265,574.8846,786.9675,928.0295,740.0584,742.9748,729.0957,682.6093,722.26965,639.5266,peace
883.36926,712.0939,880.7115,736.5553,882.806,702.93445,1134.419,738.8412,996.24384,744.76746,980.7183,753.48645,1001.6259,759.27374,1196.8105,762.04865,1056.9834,774.8695,1035.5061,786.1049,1031.7634,peace
597.20905,944.5272,566.7771,961.2914,568.2946,956.8303,725.19183,937.4273,636.80615,915.268,641.51776,918.3287,660.2401,953.12366,763.42834,952.4164,693.6964,953.5983,666.9456,944.6123,664.55084,peace
404.84448,979.01855,377.30673,999.9511,358.85327,1015.847,532.074,1008.5963,460.7076,1031.8549,462.0191,1066.8684,452.37167,1041.2198,580.764,1063.6034,521.33936,1056.3737,503.75592,1041.1836,485.46753,peace
673.7194,680.5069,693.24664,677.49725,750.8598,729.60754,861.2007,665.5589,714.3151,677.5227,750.3935,682.2662,814.6026,725.57043,893.57544,701.5876,770.7373,700.839,739.06445,680.9104,753.2608,peace
301.3287,286.13312,307.03937,291.7062,324.7784,295.51935,370.83347,293.95465,316.96683,293.17932,338.74338,294.99673,366.66833,310.57162,390.92575,313.211,351.97363,312.11563,354.83676,308.6615,362.24585,no_gesture
359.50546,279.29227,370.68875,274.75333,384.58908,280.09836,384.83337,300.0437,359.139,297.58514,379.7376,293.96985,408.11606,297.83014,376.9065,317.75635,369.95718,318.25583,383.19534,311.09424,402.02338,no_gesture
248.03244,260.06143,224.24788,262.943,209.6324,260.12015,321.2483,255.97325,265.9792,260.0628,266.5205,263.60315,259.14822,260.034,345.86978,270.60452,304.71637,266.59256,290.04224,259.29803,280.81384,no_gesture
289.382,283.92065,282.036,293.7367,288.34537,251.57286,357.4443,281.78323,295.71704,282.0754,290.50238,288.2835,296.01093,246.21967,367.64032,258.71573,328.88477,256.2366,321.0552,263.1601,318.83563,no_gesture
854.45447,744.9675,874.8232,762.9859,895.6394,689.61017,952.7066,724.76483,913.8508,711.7686,973.45654,713.5205,1012.9606,684.6346,1020.7376,701.8476,976.8593,687.5812,971.2896,672.6806,962.04895,peace
673.75116,656.907,633.19507,663.8156,626.41125,700.73035,885.6853,701.85767,702.7696,705.34467,690.05664,711.1539,688.02277,751.36255,917.4286,750.4622,767.63306,732.9748,736.83264,701.7016,728.12787,peace
739.6814,722.75555,723.3727,736.3771,704.3413,714.1062,938.4323,709.2067,793.61426,701.7004,835.13885,720.91376,853.81647,702.8633,988.78906,696.2475,898.8833,694.8484,895.9655,696.8932,891.9368,peace
258.56927,283.36786,210.89066,288.37207,186.65488,277.21625,359.93073,281.55063,277.0363,285.77325,265.6631,289.0119,256.24167,279.53952,371.0171,284.3687,311.29404,285.74634,284.41306,281.79126,266.11465,no_gesture
719.1418,768.7746,696.02704,788.751,685.1284,699.0656,885.06665,708.3541,744.5495,752.361,735.73126,767.0633,713.6286,699.3578,928.91156,723.22565,814.57104,759.7528,757.2696,763.3953,725.3477,peace
665.47314,745.2672,517.6839,798.174,462.1025,801.57745,950.5779,780.7102,713.18835,784.7,616.40656,816.3818,572.50055,850.2777,989.33795,836.52747,808.6638,829.3182,718.82965,827.65393,662.2912,peace
272.74167,241.59636,252.51933,251.41322,256.69543,249.77345,360.46786,234.77084,298.5366,237.41136,304.16806,243.0528,327.22675,257.40707,378.26288,257.30106,339.35614,254.91614,328.19095,246.36261,331.75577,no_gesture
683.24506,565.17914,663.5301,585.89746,651.0873,554.0915,889.85516,561.9681,728.6345,574.37976,720.2526,582.42224,695.7044,578.05316,917.16125,600.5686,800.38995,612.28046,742.86017,608.64636,696.5086,peace
805.0838,693.9303,787.6159,679.92676,811.9667,748.2914,973.46497,700.971,854.70685,683.16986,879.9389,654.1954,914.96216,777.2716,1007.43005,754.9049,928.6187,713.0705,912.146,646.8389,918.81854,peace
338.8129,319.4422,351.20312,320.01,358.60226,312.62247,370.1095,331.2908,345.5227,326.5244,366.86084,319.78018,381.47607,335.89557,377.62643,351.50043,374.6526,350.1591,381.9812,339.47272,378.91183,no_gesture
622.1896,693.08655,450.13748,703.75085,366.6481,786.5952,922.1997,702.72675,630.0935,686.42633,513.91833,704.2157,442.94922,770.56165,944.62,703.50116,729.13873,690.26794,641.53253,691.3122,588.129,peace
551.2817,1267.4542,568.4043,1339.1508,589.29034,924.8668,796.34863,1145.3817,605.40375,1266.6046,594.0581,1322.0701,623.78046,1021.5879,859.3297,1142.9364,690.3938,1240.6158,659.8367,1290.5922,657.50336,peace
754.0815,857.4766,714.52466,909.2711,696.9216,718.2956,982.84143,757.8276,830.35974,836.13983,809.01044,899.20215,802.5973,749.3,1042.5433,772.54425,917.7683,845.2679,880.5356,894.66174,891.266,peace
514.78076,978.1185,478.0736,993.2486,464.06943,961.667,743.8659,975.7469,562.8367,976.0833,543.0775,991.22626,535.1521,982.6824,768.8644,997.9093,639.3619,993.7008,601.80096,974.1155,578.92084,peace
