"x0,y0","x1,y1","x2,y2","x3,y3","x4,y4","x5,y5","x6,y6","x7,y7","x8,y8","x9,y9","x10,y10","x11,y11","x12,y12","x13,y13","x14,y14","x15,y15","x16,y16","x17,y17","x18,y18","x19,y19","x20,y20",label
297.64877,538.7271,299.45456,496.3191,298.83575,434.77545,287.6206,398.08997,290.80557,375.5128,296.42206,349.8508,304.7507,283.90018,291.2792,249.50665,282.5867,233.58461,282.2095,338.60165,295.66537,272.80984,285.98303,254.68652,291.49298,252.95625,271.36728,341.09216,280.63107,280.22168,272.26526,274.165,271.55362,268.55807,269.42084,345.00696,276.6394,305.37027,279.51813,290.77786,281.2418,284.78748,no_gesture
397.40668,404.51062,405.35114,373.44666,391.81534,337.80133,362.77686,316.00497,352.5504,289.82803,388.55447,270.22485,379.04028,220.98122,367.6136,212.44351,352.4185,211.75258,379.45547,266.40482,372.13937,222.18222,358.00665,227.00697,351.3136,234.55272,369.22308,275.59583,349.7497,242.35701,331.3122,257.53268,323.30432,270.80487,369.10544,285.90698,364.2786,263.93552,354.15768,263.52466,339.55264,265.91177,no_gesture
294.28558,588.5704,297.31366,516.8567,290.10754,438.76306,269.69067,383.776,266.1369,346.46616,276.436,344.02713,275.55945,269.985,276.74612,243.03168,269.69183,230.12747,272.42975,334.23642,276.32843,262.4953,281.683,245.60812,278.70508,241.9952,275.76505,352.71127,278.71982,289.82632,287.34314,286.88007,281.38492,287.66608,286.56287,378.12625,294.53903,326.5045,298.42905,301.5355,287.51114,286.89362,no_gesture
270.62796,596.41736,266.88763,512.7405,267.37173,396.0294,276.393,314.01907,294.92096,265.23767,254.73453,331.94135,251.87907,235.02362,261.10855,186.34622,272.62033,161.82547,257.22147,329.34134,253.06514,237.76857,262.36386,199.76991,279.0781,182.9472,261.95377,341.42056,255.72633,245.72166,261.03397,218.87666,273.05017,198.50986,270.14667,356.4228,271.33276,286.61646,270.53586,249.90184,272.6942,222.64247,no_gesture
286.34677,545.39795,275.76712,493.5043,266.32578,438.12784,258.467,396.22623,271.83383,369.89978,264.82147,348.7719,259.611,325.15765,261.4587,349.11697,265.83798,370.4312,279.47546,341.42203,279.0751,325.90488,283.05823,355.4943,292.03607,374.18372,288.98755,354.22174,282.76566,340.3214,286.7932,366.05115,291.87604,385.31445,295.6509,371.6682,292.24237,361.34296,294.7189,365.01547,296.5458,371.16357,no_gesture
247.30801,577.0028,240.2742,510.10336,236.79701,413.85617,241.12138,353.39392,255.66338,329.27805,240.86346,336.65747,243.41595,243.7439,246.48839,217.61172,250.00078,213.85927,252.27657,340.22336,256.53323,247.28455,256.40274,216.14468,260.7227,201.04813,267.68564,361.02353,272.14108,270.23566,279.02966,250.90822,289.60358,240.39124,286.81064,387.58057,294.832,319.041,297.7547,299.20697,301.8926,292.23563,no_gesture
242.80286,589.18445,233.228,526.1692,251.6905,455.3177,278.8925,401.87003,302.94662,373.01166,275.9135,382.2106,311.863,313.8155,333.48267,284.015,344.42538,272.96628,282.33478,394.46655,324.71094,333.73843,339.0579,326.31644,344.23444,327.36508,283.73203,417.06107,324.7194,365.38522,335.23233,388.60736,341.80365,414.09216,286.76462,435.62445,309.59503,403.3743,321.30927,414.93338,328.46124,429.52777,no_gesture
280.03986,567.14435,287.59808,526.019,290.1649,472.56464,280.30624,438.0333,281.81607,404.41605,285.4031,351.92593,286.47562,302.79526,281.45477,302.34863,273.50766,307.75958,272.9519,340.92877,286.09802,303.9248,285.81284,312.1259,287.07028,323.58685,265.56586,354.67957,272.97845,316.84677,274.3788,326.30478,270.5859,342.92865,265.68747,372.33383,278.81778,344.9059,280.04187,333.3447,269.59552,331.67847,no_gesture
191.48805,552.8911,233.25743,495.46698,278.93945,415.80063,309.19196,354.06656,328.09177,305.90213,250.68208,286.35077,275.64255,191.97375,311.59872,160.88246,343.8973,159.82094,234.11028,274.38925,263.7632,172.1166,299.7379,144.06427,334.85596,157.7471,223.4775,275.11383,250.13815,170.53165,285.24475,157.45789,314.19608,172.1718,212.3713,276.7933,233.21036,194.28917,260.80414,167.73027,286.88394,161.65552,no_gesture
304.6422,541.9031,264.31116,482.9094,227.80937,405.1703,196.84329,345.6183,192.8792,293.11447,274.83438,319.46356,240.52802,281.14673,220.79984,276.56314,212.69513,284.6397,293.0051,314.05573,255.64343,274.43918,236.21654,276.34253,236.64621,285.54657,304.04175,325.7347,269.52386,283.24277,253.47423,283.60196,248.58295,292.46997,316.31393,336.39172,295.9728,299.73856,284.15173,277.85956,274.88715,257.02182,no_gesture
